,WT1,WT2,ALE1,ALE3,ALE4,ALE5,ALE6,ALE7,ALE8,ALE9,ALE10
b4072,9728.63,3590.62,1.56523,2.4733099999999997,0.42537200000000003,0.7960109999999999,1.11979,0.0,2.1998900000000003,0.6200220000000001,1.74708
b4073,8258.39,0.0,0.665121,0.512926,0.518887,1.47919,1.01557,0.0,0.979943,0.865816,0.762017
b4074,6537.08,7349.17,0.966167,1.99252,0.926193,0.25449299999999997,1.2005,1.35816,1.62726,1.54166,0.620966
b4075,7655.49,16448.7,1.22668,0.0,0.0,3.1217900000000003,0.0,0.0,2.41012,1.6093,0.446979
b4076,34343.8,12624.8,3.06799,1.9625,2.5571200000000003,2.37372,1.69055,0.0,5.23048,2.77074,1.03891
b4077,119182.0,152771.0,65.6339,127.596,66.0536,22.5375,42.5622,58.1462,121.87299999999999,128.99,91.6947
b4078,616621.0,475177.0,55.1494,271.54200000000003,129.608,96.934,61.2966,101.245,248.24,197.002,176.69299999999998
b4079,46729.0,48018.2,10.2468,63.9416,10.9494,10.8494,9.89161,12.3351,95.6775,29.4334,48.2775
b4080,17515.7,5619.73,1.61353,2.44812,1.22232,1.31989,0.693883,1.58027,2.10803,2.2920700000000003,1.82033
b4081,5170.1,2910.92,0.5558569999999999,1.4644700000000002,0.6229819999999999,0.60075,0.403144,0.351574,0.9614940000000001,0.9786290000000001,0.933803
b4082,5653.25,0.0,0.30359200000000003,0.0,0.705871,0.44817700000000005,0.153309,0.0,0.178326,0.9621629999999999,0.5942189999999999
b4083,893.046,5026.98,0.7200880000000001,1.41019,0.538624,0.623052,0.348625,1.09584,0.830851,0.933717,0.691662
b4084,42764.0,40561.8,5.68244,5.85165,5.387980000000001,2.04602,4.3962,1.9415900000000001,5.69059,7.38432,3.38671
b4085,24753.4,20577.3,3.9831300000000005,5.49027,5.650869999999999,2.64898,2.38803,1.53443,4.18699,5.89669,5.81839
b4086,8013.21,11188.0,0.9681200000000001,1.2427700000000002,1.50715,1.19438,1.14665,0.8988360000000001,1.7097099999999998,1.30513,1.16062
b4087,5952.13,5349.39,0.8636299999999999,1.16333,1.16058,1.11479,1.31714,0.997441,0.8905219999999999,0.871235,0.8650709999999999
b4088,50913.4,44982.8,6.83379,9.23327,8.28076,9.6385,8.36833,7.69389,7.0552600000000005,8.7092,7.16602
b4089,410279.0,301615.0,26.3208,33.1646,40.7847,44.339,33.3515,42.3983,37.1434,35.437,23.3769
b4090,40868.0,0.0,2.81055,11.7187,5.07252,3.80881,4.548109999999999,11.6566,13.0417,7.38565,8.91058
b4092,96660.8,138071.0,8.89091,11.8234,8.54138,6.70293,9.10117,5.3080099999999995,9.55366,7.44595,8.111180000000001
b4093,98752.7,113835.0,20.296,13.2994,20.8197,9.73776,5.49425,8.54013,12.6092,14.7831,13.6886
b4094,12606.5,9243.28,1.35087,4.9000699999999995,2.286,2.11042,2.2741,0.0,1.6571,3.89795,3.22647
b4095,3358.49,11279.7,0.541185,1.8634700000000002,0.8326399999999999,1.98757,0.677197,1.46541,1.42513,1.7073599999999998,1.75857
b4096,3185.47,0.0,1.0250700000000001,0.808923,0.416951,0.7808609999999999,0.27428400000000003,0.0,0.308393,1.21656,1.0286
b4097,0.0,0.0,0.666818,0.0,0.355891,0.335146,0.0,0.0,0.530759,0.914415,0.294952
b4098,4809.85,5357.14,0.9681209999999999,1.20287,0.611841,0.0,0.6002109999999999,0.0,0.459305,0.45152,0.637944
b4099,3629.46,14207.8,1.16954,0.6730229999999999,0.226032,0.43091599999999997,0.883231,0.8010390000000001,0.171525,0.33644,0.38101799999999997
b4100,0.0,0.0,1.57846,0.50602,1.05705,0.48984799999999995,0.0,0.0,0.385243,0.38111799999999996,0.6428119999999999
b4101,11551.6,0.0,0.0,0.7719560000000001,0.0,0.0,0.560786,0.0,1.1716,0.291875,0.0
b4102,0.0,9742.37,0.9419559999999999,0.0,0.0,0.713007,0.49817100000000003,1.42813,0.0,0.0,0.626972
b4104,3611.73,3988.7,0.0,0.0,0.480336,0.0,0.0,1.8850099999999999,0.0,0.0,0.391828
b4105,9589.46,2143.49,0.617949,1.18783,1.1987700000000001,0.912977,1.25004,5.12487,0.544798,1.06904,0.90771
b4106,0.0,0.0,0.422965,0.6599079999999999,0.673828,0.9535100000000001,0.8827969999999999,4.9869900000000005,0.503736,0.371735,0.139954
b4107,226760.0,213948.0,1.43615,4.00253,11.289000000000001,8.590060000000001,1.16921,0.0,13.360999999999999,5.147419999999999,4.39537
b4108,738190.0,689209.0,137.567,109.477,126.31299999999999,108.26,156.016,42.8859,116.448,109.36200000000001,111.87899999999999
b4109,170103.0,139299.0,11.4311,18.998,19.7826,18.8192,6.55085,5.43034,48.5621,12.4308,41.3979
b4110,116921.0,132884.0,7.568569999999999,36.3274,78.1315,7.980689999999999,4.3653900000000005,35.8795,176.762,11.4862,118.71
b4111,1650620.0,1677610.0,49.7469,42.8461,80.6256,29.5134,70.5946,31.6873,69.6932,73.8734,74.7826
b4112,102163.0,104453.0,19.5831,26.7561,18.6134,16.5012,12.6879,5.4178,24.7838,22.2625,20.9677
b4113,169649.0,195038.0,24.9321,59.7414,31.2626,24.837,25.3699,34.5361,65.4699,60.2196,52.9239
b4114,9905.59,18558.8,1.68583,2.14747,1.47085,1.02861,1.1266200000000002,1.37324,3.2883199999999997,1.8592400000000002,2.68079
b4115,16675.4,12471.3,1.23193,1.02236,0.852606,0.49019399999999996,0.553659,0.59178,1.56463,2.7447,4.41559
b4116,41215.2,27476.4,0.44228900000000004,1.38353,0.707795,1.33332,0.46406400000000003,0.0,6.599080000000001,1.9488900000000002,9.53469
b4117,13911.4,9579.18,2.74231,3.9339199999999996,1.57837,1.5236399999999999,2.16172,2.5049900000000003,4.30539,4.03019,3.02635
b4118,48381.9,53965.4,13.2821,7.942889999999999,18.8827,20.8099,8.16014,19.0739,25.9474,22.4034,6.741810000000001
b4119,52002.2,59881.8,4.1911,10.3995,3.52388,6.111759999999999,4.1401699999999995,1.16352,12.4505,9.61318,7.7672
b4120,34027.7,24973.8,1.37131,3.0444,1.44133,1.8433099999999998,2.28667,0.0,2.94309,2.7006200000000002,3.33574
b4121,127464.0,117365.0,17.654,38.9354,15.0281,12.6911,11.1527,18.3474,34.495,25.2119,26.0855
b4122,23066.0,29634.1,3.2762599999999997,45.6729,5.33724,3.5926099999999996,2.50789,6.85098,75.9872,26.3764,38.9332
b4123,18018.6,17104.4,3.23948,31.9495,4.42162,4.2371,0.662587,4.72069,37.0622,21.8995,34.5098
b4124,227805.0,154269.0,24.0443,10.4711,30.7207,29.9366,29.5044,21.7229,33.6623,27.5453,11.732999999999999
b4125,152025.0,128476.0,28.805,25.986,27.7801,30.4699,23.2506,39.7189,42.5882,40.2847,30.5987
b4126,23139.0,94013.2,0.0,8.57345,0.0,0.0,4.62415,0.0,3.2739999999999996,4.9632,0.0
b4127,91901.6,127067.0,6.3086199999999995,17.2289,22.3728,2.47614,6.8783199999999995,0.0,15.0109,10.3679,20.6527
b4128,25387.5,0.0,1.03031,17.4494,2.3951599999999997,17.4152,0.0,0.0,16.22,11.8511,48.8584
b4129,417683.0,420513.0,32.9893,54.2705,41.3856,44.6792,32.3619,41.3958,75.3173,55.5703,54.6202
b4130,28977.4,33952.3,3.5542800000000003,5.70186,3.84767,3.24962,2.39655,3.18496,5.77957,5.71363,4.97626
b4131,13116.9,7387.41,0.925515,2.0883,1.0850799999999998,0.38068,1.0210700000000001,1.33352,1.44735,1.22794,1.47961
b4132,11145.6,6251.58,0.44912700000000005,0.34169,0.0,0.819166,0.333102,0.0,0.39219,0.255999,0.36289099999999996
b4133,59259.9,31956.6,1.24199,2.46097,0.577638,2.21952,0.655536,2.4816,2.99205,2.7103599999999997,5.59775
b4135,646357.0,685285.0,51.6332,73.5865,79.691,64.2331,70.0007,56.7796,84.8083,74.9524,60.9958
b4136,300449.0,366491.0,36.2902,48.5137,52.038000000000004,32.218,48.24100000000001,25.9691,59.8299,46.6394,43.3799
b4137,667379.0,924386.0,50.4808,189.385,142.776,94.9635,107.036,144.313,227.023,186.609,198.674
b4138,1746500.0,1947400.0,220.138,231.757,314.92,225.484,202.50099999999998,215.12599999999998,484.449,377.098,238.83599999999998
b4139,245916.0,195563.0,70.613,311.415,75.3133,176.225,33.0208,322.72,496.723,380.949,271.152
b4140,90446.8,69674.9,11.959000000000001,12.6865,30.9665,36.3524,20.2256,6.67432,18.732,11.714,18.7687
b4141,237453.0,254466.0,22.7455,59.6326,29.0598,23.5863,24.0231,29.5091,44.7796,51.4237,52.7642
b4142,1647950.0,1710030.0,517.847,924.696,1653.51,1901.15,419.88599999999997,189.105,592.795,326.707,1054.47
b4143,2721790.0,2439870.0,879.8960000000001,2165.78,2666.62,3602.36,805.552,822.117,1902.86,695.513,2436.4
b4144,2224310.0,2039930.0,420.92199999999997,1014.53,488.046,398.033,343.827,394.996,734.4810000000001,595.956,605.253
