Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YGR240C,651.2444501,695.4260898,674.4230857,667.243605,681.9813229,659.366226,658.6749727,611.5401677,588.6425393
YOR094W,42.50397299,41.20746644,39.09719273,33.54353951,36.29764065,40.77692397,38.63743768,48.09290313,48.81920868
YDR167W,45.46214274,43.8938237,46.04209563,38.43981423,38.48043229,39.39601922,37.34712304,38.03523815,39.41180367
YBR063C,38.07052437,41.11983913,36.80465491,36.6989532,38.30103948,42.13256686,31.85901547,31.57383204,35.68903518
YER052C,109.3876322,105.793948,106.685394,110.0579848,117.9409397,122.1488958,113.9117543,114.8241394,115.8354747
YGR178C,152.5247118,155.1627835,151.8296433,149.4141887,157.6694701,151.95886,158.5636085,159.0842489,162.5283193
YPL118W,146.0197833,150.2848404,154.6702882,142.9979905,148.9459887,151.6111774,135.2652725,145.2244435,140.599494
YPR187W,247.3306043,224.7904082,231.6719564,227.1570967,227.7252713,231.6523647,217.5892733,191.1763389,172.817377
YJL065C,41.61559143,40.33768404,40.00817788,38.8718274,39.15592738,39.08464109,36.59130881,38.50478974,41.63928135
YOL141W,22.79097597,18.82676827,22.04630489,18.31795495,22.08498829,24.50835466,15.60612101,11.18291127,9.642167362
YPR086W,87.43835596,74.53682352,82.75371537,86.20722002,83.11754426,88.06089579,83.59077164,81.42800655,87.12543488
YBR122C,127.3464309,122.0569619,122.9159182,115.891985,114.2846259,120.5540697,124.7599088,111.9013808,112.8785573
YBR271W,37.61518106,37.47574629,39.0099088,34.46005878,32.90017458,36.84112687,28.02552748,22.78569985,18.26683607
YBR279W,72.70162494,60.94351644,57.22295602,55.14989421,62.34125191,64.73686723,68.70419324,73.40025626,81.39833118
YHR095W,5.873591911,1.955837196,1.974043127,2.166070669,1.027559136,5.857524335,1.201869422,1.312344569,0.415665605
YMR221C,56.53623178,64.02933863,62.53688974,58.59706295,59.27753824,58.34902611,46.49844314,48.33332976,52.62315582
YDR241W,5.05497283,2.244328862,1.853361999,2.372591819,1.414952511,3.854992957,1.182127416,0.282359851,2.146398701
YJL221C,0,0,0,0,0,0,0,0,0
YJL221C,0,0,0,0,0,0,0,0,0
YER130C,24.29121429,22.38216396,24.04473787,18.85595512,21.89110131,21.03681443,33.64666793,53.33482703,58.16133058
YBR155W,65.11390455,66.24940675,58.46313221,55.74257859,63.44080832,67.0111624,53.00186276,44.54598813,37.97969329
YDR363W,20.42282818,23.27303502,19.28353264,20.23630322,20.67508985,22.9228141,19.06849179,19.99313845,19.63458685
YGR266W,49.91815687,48.2709292,45.40017857,41.77564997,44.08165234,45.20139486,44.32275833,48.73785884,53.35882591
YLR443W,31.8733688,32.54110109,31.48282803,30.06458103,27.00236082,34.14371977,31.1922235,34.67865649,37.68104445
YPL147W,4.919502654,4.932024374,4.989247662,4.953194177,4.741878561,5.180671858,4.708483193,6.546273154,8.568885982
YAL034C,10.68835512,12.71635648,8.786668267,11.67942258,10.55313997,9.94393677,9.431776475,11.3621968,12.24421585
YBR067C,87.55820817,111.600318,96.08694676,150.9936955,208.025445,186.7761918,110.585027,66.80446423,49.38528319
YCR095C,27.14492533,22.7929336,28.51872132,24.67669947,31.35264258,28.94242804,25.88185401,24.35587282,31.32926682
YLR270W,76.43964617,71.63718521,67.24779549,75.82370434,83.66949103,81.70859963,90.54202666,111.3877403,122.7738697
YPR084W,18.07798495,24.56598141,20.77185898,21.5853901,20.60098559,23.047057,19.93524142,18.10029694,14.53858721
YBR184W,9.498586755,10.04519312,9.53677244,5.882396649,1.938692094,2.871189241,0.917822989,0.876915157,0.784234789
YMR113W,23.58461992,22.84299956,25.77348082,22.51835587,23.5013907,24.54353991,21.94813497,23.24373967,27.20779231
YGR035C,30.79200592,16.563147,14.69098278,6.670372429,11.89267585,9.969604863,8.239428087,4.862236629,4.693458492
YDL222C,7.808273423,12.65364208,8.588507432,18.21966635,4.371274172,9.619128324,6.664895448,6.716760323,9.725411838
YCL008C,10.9269551,15.17055743,10.19082121,11.09806994,14.39044615,11.98992258,10.99623709,13.72800892,15.2628674
YEL065W,30.27489162,30.5667833,26.74616247,27.74900867,29.9831513,28.47408678,18.48359008,12.07395275,10.88752964
YNL335W,0,0,0.130949014,0.143687245,0,0,0.125284553,0,0
YNL335W,0,0,0.130949014,0.143687245,0,0,0.125284553,0,0
YMR296C,96.02186306,100.5960822,91.98488465,99.53985309,92.19437142,79.87609811,84.10914148,83.84166979,84.29182614
YDR232W,148.3892495,155.6498651,142.7272649,143.5504536,142.6007364,138.4659135,127.0203449,116.7803289,113.5226709
YGR190C,2.271275463,2.205898573,0.971534052,0.533020628,0.834434323,0.699504518,0,0,0
YHR116W,31.42971019,35.74525314,30.00545554,36.13118399,31.68405199,27.49590835,24.42002442,27.4280015,22.56470429
YDR313C,29.64212556,29.58469086,33.50239156,32.91557325,27.0334081,29.68827313,22.88103833,27.51498247,32.94971587
YFR018C,27.73516715,31.58620303,28.35904337,32.00932996,31.91781396,23.40230513,21.3015893,24.28889975,23.90286778
YKL007W,75.98452024,72.72349488,80.40318181,72.77616321,75.44935824,82.78337997,89.65835117,104.463686,112.8599161
YIL048W,33.83247227,36.40083801,34.56292145,32.51927224,33.20428717,33.96865474,34.73718192,38.41940954,41.66208542
YDL213C,89.23856392,79.68279113,75.81947893,79.45904626,83.37769647,82.59216192,75.17073152,57.21686629,55.80847986
YDR443C,19.54858334,22.78307116,19.38623029,20.10802185,21.34314101,21.30654872,22.48801866,22.18923098,22.40322529
