gene,Var2,Var3,Var4,Var5,Var6,Var7
b0063,7.736246153,7.822248581,7.957985386,8.318784268,7.50871798,8.993759254
b0415,9.686644459,10.11528596,10.2859303,10.54965768,10.33568174,10.87425363
b3648,9.581666936,10.01658448,10.03567555,10.32754606,10.13767422,10.86426976
b3752,9.26635998,9.270225187,9.557443458,9.192584498,9.012961728,10.21594083
b2221,7.342292166,7.646528136,7.921303398,8.258955953,7.528240686,8.815452592
b3771,8.362742685,8.875669731,9.137278615,9.490962913,9.129474018,10.66753397
b3926,12.13344065,10.68220459,11.00636092,9.076706402,9.192141315,8.916931364
b2293,9.163953558,9.874522884,10.01434337,9.972928502,10.002124,9.266718607
b2222,6.817887024,7.43631031,7.632668875,7.743525407,7.307673219,8.900471608
b4383,9.558162664,9.172013561,9.327523221,9.244923055,8.765198058,9.444352926
b0928,10.73856894,11.02460135,11.17325667,11.00893416,11.15206509,11.21896173
b1694,7.100167222,7.722726742,7.645895388,7.999837036,7.705628606,9.308627895
b3885,8.912653494,8.660847094,9.058156779,8.465564278,8.613903597,8.124809538
b2930,7.622939981,7.836431307,7.827804879,8.032609841,7.648741523,8.489103033
b2579,10.490351,11.56758777,10.88586062,11.34457084,11.64690943,10.8051589
b4232,9.157156572,9.362358506,9.600684554,9.776914158,9.741095443,9.329703321
b3114,7.081537362,7.097694619,7.246568477,7.667664877,7.342254952,8.509587404
b2039,10.64293153,10.36896611,10.42969993,10.53479968,10.31524287,10.7112628
b3697,8.156502468,9.051637968,9.016838544,9.569990038,9.548322261,9.380540922
b3789,7.933092113,8.441925542,8.545202019,9.177168693,8.856011582,9.980752269
b2041,10.09798839,10.51491778,10.44336657,10.91647519,10.67426109,11.23035993
b3925,9.847673373,8.974266605,8.993223662,8.903137968,8.690824648,9.376588804
b3788,8.389879283,8.540827042,8.745776768,9.390107269,9.096119281,10.75099441
b3952,7.274755728,7.650929628,7.978134233,8.436293304,7.725287811,9.572773254
b3430,10.09592542,10.13515873,10.24432429,10.09762906,9.844210716,10.44755667
b2036,11.03225187,10.82824397,10.70004572,10.84351964,10.78288938,11.02192463
b2038,10.24461737,10.33615482,10.18589607,10.43323275,10.30985818,10.36462384
b1854,9.857775612,10.12548688,10.37100672,9.84630213,9.824256824,9.856733247
b2040,9.504900455,9.803586186,9.874535266,10.37474626,10.00521729,10.66523544
b0902,8.465752478,8.677131255,8.550386831,9.158879371,9.450156207,9.270239736
b1676,10.16223252,10.2453479,10.64522797,10.79883744,10.58097578,11.04167342
b0512,7.365919361,7.605679601,7.663223283,7.89322974,7.365811672,8.621302214
b2708,7.566389439,7.447248308,7.760690901,7.50118518,7.507736591,7.647222348
b3951,7.366721638,7.74677888,7.962021147,8.355286623,7.816397862,9.409379442
b3197,8.874829003,9.304595218,9.256194796,9.549711345,9.526190477,9.549397216
b4152,8.118990784,8.394280562,8.196355012,8.342501612,7.942434094,8.960507454
b3972,8.598300614,8.748537273,8.574625567,8.890662005,8.983044971,9.152036011
