,con20.9%,con2.8%,con1%,con0.5%,con0%
YAL055W,8.926693844,8.785650312,8.840060394,8.9525971,8.818057557
YAL056W,8.355278567,8.004576303,8.220711959,8.195913889,8.010955653
YAL058W,8.670061106,8.605301461,8.554609048,8.716484356,8.827607519
YAL059W,8.453882243,8.665726624,8.346718981,8.306091677,8.433105774
YAL060W,11.5484397,12.60240622,12.25675308,12.16146065,12.43026081
YAL061W,10.85018528,9.701102309,9.879750704,9.387195585,7.979302618
YAL062W,10.27770108,11.80514529,11.82476264,11.66887622,9.106361944
YAL063C,8.505143579,8.197504801,8.243685804,8.362662777,7.953618741
YAL063C-A,4.578287256,4.71516707,4.679973143,4.775798632,4.708798649
YAL064C-A,3.938833764,3.788061587,3.870236182,3.866564234,3.885774296
YAL064W,4.617600345,4.278085317,4.201357031,4.256926839,4.217477818
YAL064W-B,5.245681452,5.571169107,5.673522166,5.591087429,5.198598343
YAL065C,4.207573446,4.017351837,4.010048714,4.032628674,4.034279356
YAL067C,4.090792012,3.958985262,4.120324603,4.176235275,4.059090172
YAL067W-A,4.340903652,4.210367535,4.061610171,4.108218745,4.49480807
YAL068C,6.724908477,6.901941799,7.267084859,7.556992572,9.835662473
YAR002C-A,10.24325633,10.75381974,10.78878569,10.57928842,10.91578144
YAR002W,9.714479301,9.832526574,9.81513147,9.76181999,9.852496894
YAR003W,7.454574624,7.300739556,7.587854949,7.377481368,7.722230046
YAR007C,10.20684104,10.2310705,10.29813055,10.28829707,10.25808871
YAR008W,7.878932031,8.197626898,8.276391614,8.296418936,8.450925592
YAR009C,10.80056035,11.18151162,11.23674787,11.38508011,10.58657272
YAR010C,13.51611063,13.90355864,13.84880876,13.7416187,13.53005456
YAR014C,10.09525036,10.3749101,10.3000499,10.3499754,10.11473998
YAR015W,11.72754043,12.61451596,12.11943557,12.10824313,12.25731148
YAR018C,7.653218934,7.857419104,8.061036892,8.06008001,8.171149274
YAR019C,8.691915916,8.514978066,8.408212487,8.487057791,8.579274467
YAR020C,8.788873713,6.85256402,6.947487778,7.153748275,8.771740553
YAR023C,5.617829144,5.380650973,5.237211213,5.491120205,5.300022554
YAR027W,9.580084406,9.550453926,9.435423283,9.231451983,9.429602676
YAR028W,6.34641653,7.300868518,7.416178131,7.468494064,8.297871608
YAR029W,3.940243908,4.301240482,4.312654403,4.255970192,4.803082372
YAR031W,4.418129992,4.24164099,4.050015416,4.290725328,4.416869598
YAR033W,5.908878171,5.0656779,4.968687848,4.941496351,5.701961809
YAR035C-A,6.910124388,5.264141908,5.167069116,5.378521329,5.708674573
YAR035W,11.35706616,9.72908802,9.432194038,9.63729098,10.19332478
YAR042W,9.493401932,9.326866638,9.418603296,9.438863629,9.697098148
YAR050W,4.226938991,4.191362125,4.125588303,4.121684034,4.034215404
YAR064W,6.499860654,5.366464356,5.312618709,5.551874094,5.289929599
YAR066W,7.595223592,6.920962204,6.545090348,6.141187729,6.794358986
YAR068W,10.27708095,9.589327968,9.18670121,9.246128922,9.507040106
YAR071W,8.276643528,8.451081073,8.657530694,8.69178105,8.934913848
YAR073W,6.941883813,8.476511756,8.21020822,8.128766082,9.841430478
YAR075W,7.705304529,8.251931691,8.140362646,8.189512152,8.235085015
YBL001C,11.22359973,11.38534491,11.21734248,11.05586997,11.18065994
YBL002W,10.94978141,11.97083046,11.99137985,11.98113312,12.10785432
